timeframe,dead_zone,filter,commission,total_return,cagr,sharpe,max_dd,trades,final_nav,total_fees
4h,0.08,MACD+ADX,0.0001,0.3730969491022591,0.11695993923880499,0.8159290747217304,-0.5388340755656924,892,27461.938982045183,1825.0388932870696
1d,0.05,MACD+MA,0.0001,0.35238874265604747,0.1169376405969802,1.2925907612120742,-0.39688970821303504,1043,27047.774853120947,1595.1937893468278
1d,0.08,MACD+MA,0.0001,0.351475173935081,0.11666116510415536,1.2780369272673076,-0.39265493466318646,782,27029.50347870162,1409.6658805647899
1h,0.05,MACD+ADX,0.0,0.3775688401410566,0.11658002822601832,0.40213076995022645,-0.3637369550937297,2730,27551.37680282113,4154.68384062529
4h,0.03,MACD+ADX,0.0001,0.37111346130613176,0.11639680253494733,0.817444215654378,-0.5494723582199701,1359,27422.269226122637,2101.0780265594303
1d,0.08,MACD+ADX,0.0001,0.3628606608774525,0.11627400545625388,1.1648322756503156,-0.3661259794212922,454,27257.213217549048,805.9735287917287
2h,0.08,MACD-Only,0.0,0.36381925294590256,0.11239577396065115,0.6237662941216167,-0.4142858304002587,2049,27276.38505891805,3031.1055257220482
1h,0.08,MACD+ADX,0.0001,0.3553131725921117,0.11033683106646408,0.4008241620900495,-0.37148701566977216,2209,27106.263451842235,4883.185249867527
1h,0.03,MACD+ADX,0.0,0.3498197292620153,0.10878547086063661,0.39400318918621025,-0.364655349407488,3126,26996.39458524031,4248.601134341333
4h,0.1,MACD+ADX+MA,0.0,0.3379281321361698,0.10853050862976543,0.7167797106880263,-0.3000522372307073,556,26758.562642723395,960.7114560152967
1h,0.1,MACD+ADX,0.0001,0.338358218152649,0.10553533461610631,0.3942480341684667,-0.3714755704189341,2033,26767.16436305298,4739.491841899623
2h,0.1,MACD-Only,0.0,0.33863426772005223,0.1053008899723431,0.611737612791447,-0.43416746836370146,1917,26772.685354401045,2989.448717255663
4h,0.1,MACD-Only,0.001,0.3356491903160872,0.10445416756810699,0.7613071843733151,-0.30601019527204976,1303,26712.983806321743,7770.022623356548
4h,0.1,MACD+ADX+MA,0.0001,0.3213110189317858,0.10363799708069799,0.7036981601264654,-0.3026206889203934,556,26426.220378635717,1260.7833701323905
2h,0.08,MACD-Only,0.0001,0.3152682862572278,0.09863961412812672,0.6041945116487458,-0.4213385490723205,2049,26305.365725144555,3868.328101700195
1h,0.05,MACD+ADX,0.0001,0.31241171008880997,0.09810966568281465,0.37977918554867085,-0.3639869234781362,2727,26248.2342017762,5224.488564143255
4h,0.08,MACD+ADX+MA,0.0,0.30260597997332384,0.09808294978571586,0.6895049599485752,-0.3185738079338015,598,26052.119599466478,962.6430073506039
4h,0.05,MACD+ADX+MA,0.0,0.3016342973322137,0.09779297399941633,0.676859340049338,-0.3169760920576289,727,26032.685946644273,1013.6439325178252
2h,0.03,MACD-Only,0.0,0.3091580028458314,0.09688486696917686,0.5816844844882689,-0.3881084847165095,3220,26183.16005691663,3657.5216571337896
2h,0.05,MACD-Only,0.0,0.30798191911856976,0.09654650310851687,0.5813505085553166,-0.4277095958779962,2711,26159.638382371395,3431.4296208489404
1d,0.05,MACD+ADX,0.001,0.2898299341215378,0.0946426167517207,1.067627841559273,-0.3669771841256402,585,25796.598682430755,2758.2053853522257
2h,0.1,MACD+MA,0.0,0.29406892619280534,0.09400550468276303,0.572136803997484,-0.37841168629463706,1416,25881.378523856107,2618.618723726609
4h,0.08,MACD+ADX+MA,0.0001,0.28597054535668764,0.09309907231571568,0.6760859371678631,-0.3211701716390757,598,25719.41090713375,1267.332455571932
4h,0.03,MACD+ADX+MA,0.0,0.28577566229723805,0.09304044035972026,0.6772920895972054,-0.3357408023783367,850,25715.513245944763,1044.13963700966
4h,0.05,MACD+ADX+MA,0.0001,0.28415062884748,0.0925513137851115,0.6620580357895013,-0.3197326796873029,727,25683.0125769496,1332.973061416303
2h,0.1,MACD-Only,0.0001,0.29168911326495195,0.091838304318274,0.5924449744699679,-0.43964752844583144,1917,25833.78226529904,3816.8184472410803
