,strategy,benchmark
2023-02-14,74815.19868108991,71185.4836186725
2023-02-15,75309.10905255217,71901.68424261443
2023-02-16,75592.98653072267,72048.31557692045
2023-02-17,75530.93157559488,71753.29894194915
2023-02-20,75695.1381935178,71729.3998627143
2023-02-21,74878.05707984464,70561.60709161544
2023-02-22,74663.9343453418,70570.25185616058
2023-02-23,74513.0737712779,70903.18692036984
2023-02-24,74112.61302669006,70487.00912760258
2023-02-27,74594.54750065538,70974.96438071989
2023-02-28,74480.20900901848,70923.93059492364
2023-03-01,77467.31441637967,73204.38651610303
2023-03-02,77281.94791205243,73277.71126046723
2023-03-03,78390.34830162046,74815.79196036221
2023-03-06,77568.11321499058,74238.4400318138
2023-03-07,76682.73843299013,73393.25667171016
2023-03-08,76723.45414808317,73584.90364611217
2023-03-09,76508.36328891767,73239.7270546481
2023-03-10,75917.21059932734,72513.11712466825
2023-03-13,76025.80851870812,72753.01074693288
2023-03-14,75872.69642891634,73510.65966351624
2023-03-15,75033.31432403086,72763.25812091555
2023-03-16,75998.33169916795,73909.30430373954
2023-03-17,75473.02904569042,73729.11894536317
2023-03-20,75488.70982900217,73744.5415677149
2023-03-21,76297.84852291568,74396.99517575125
2023-03-22,76003.32805643788,74192.10267992278
2023-03-23,76292.73727435652,74653.89098057362
2023-03-24,76280.57506326861,74649.34607807492
2023-03-27,76581.3462361263,74622.92836001597
2023-03-28,76949.328968867,75120.04534461754
2023-03-29,77636.90915932333,75946.61312234809
2023-03-30,77994.83291699355,76380.71930816825
2023-03-31,77764.49224828773,76403.45651884042
2023-04-03,79897.58915018049,78273.96218832525
2023-04-04,79736.10328974162,78851.16909089293
2023-04-05,78782.83614092716,77569.00375277635
2023-04-06,78767.67788571584,77887.41904012355
2023-04-10,78903.22206904917,78114.69971597234
2023-04-11,79970.97063981566,78614.1415013505
2023-04-12,79781.8799813025,78325.55846018004
2023-04-13,80460.00910039294,79019.11098102652
2023-04-14,80159.59340929205,78730.0633272673
2023-04-17,80203.39212047232,79154.16967422294
2023-04-18,80117.06634600453,78380.6182547827
2023-04-19,80120.8274843849,78437.17328851802
2023-04-20,80419.03339320481,78370.5820934547
2023-04-21,80223.31353182835,77654.33592896143
2023-04-24,80758.63176517116,78397.90844018389
2023-04-25,80524.26777937057,77923.57134594655
2023-04-26,80168.1417364527,77950.30771691057
2023-04-27,80915.09769300323,78878.75821639806
2023-04-28,81295.29817963636,79443.13421562083
2023-05-01,83287.09987631072,81483.89047177859
2023-05-02,83145.82046548862,81230.06208068984
2023-05-03,83006.70813239405,81144.04620971277
2023-05-04,82610.93393414398,80725.42637135061
2023-05-05,82930.20128179208,81740.57391530064
2023-05-08,83090.08694048537,81751.26105295363
2023-05-09,83363.01874842396,82032.462639459
2023-05-10,83275.0237327058,82305.02963973705
2023-05-11,82797.88041326129,81520.38968072916
2023-05-12,82905.03174651593,81262.86051429881
2023-05-15,83138.01149927008,81932.73748717607
2023-05-16,83097.6736993856,81764.16746446471
2023-05-17,83043.3779489952,81997.93197119431
2023-05-18,83428.86940933709,82767.88785834298
2023-05-19,82612.88656173847,81625.31797061
2023-05-22,82044.69013338586,80419.56075770297
2023-05-23,81755.59931709751,79804.87548987099
2023-05-24,82219.16272285735,80122.63416080174
2023-05-25,82830.48459522217,81262.50133256904
2023-05-26,83097.33262759222,82240.03186405466
2023-05-29,83023.20237261467,82576.46447900786
2023-05-30,82351.44898806466,81614.42451537345
2023-05-31,81858.79880037942,80939.956833732
2023-06-01,84157.43789555691,82913.63250418579
2023-06-02,84344.70607305085,83203.13336938011
2023-06-05,84903.34423030888,83423.85012226578
2023-06-06,85493.41819616716,84462.89303131984
2023-06-07,84843.64197949367,84002.8043341824
2023-06-08,85246.29935506021,84511.15578326517
2023-06-09,85568.9535143763,85087.242067495
2023-06-12,85444.30445001506,85118.24855179623
2023-06-13,85866.0424840535,85490.37781383235
2023-06-14,86515.94870527701,86120.61763357648
2023-06-15,86983.19874784359,86194.80687583821
2023-06-16,86509.95072549317,85812.00314268874
2023-06-19,86504.82487748239,85698.15181849677
2023-06-20,85808.05496492593,84924.7625492437
2023-06-21,85237.36033834136,84507.50598808749
2023-06-22,85231.84421257074,83842.3886965073
2023-06-23,84788.41626180396,83377.13190838897
2023-06-26,84533.33904005554,83044.76762745778
2023-06-27,85281.24138741865,83899.49362641682
2023-06-28,85082.51217656962,83384.40869455643
2023-06-29,85195.58330434463,83406.34810888777
2023-06-30,85209.88933112248,83637.00156440564
2023-07-03,88014.7627883506,86810.66331424098
2023-07-04,87619.62900886669,86454.42455452128
2023-07-05,88325.9821006623,86596.11400819586
2023-07-06,87724.50022187688,85562.4779354812
2023-07-07,88064.51806776183,86345.90028263055
2023-07-10,87670.3974431659,86004.20863955565
2023-07-11,87933.05998200228,86526.20174887974
2023-07-12,88124.56443057588,86834.30231416086
2023-07-13,88827.16534117682,87932.49119406746
2023-07-14,88756.79913928783,87317.63061779042
2023-07-17,88498.65110131541,87139.3416704485
2023-07-18,88940.61624271076,88008.16632755012
2023-07-19,88585.53398833364,87322.66581998163
2023-07-20,88301.09633779636,86614.32738460685
2023-07-21,88618.35924369928,86747.17144320966
2023-07-24,88920.8611699335,86469.3368823525
2023-07-25,89630.95268230917,86834.85837688268
2023-07-26,90389.20852112696,87951.78982653306
2023-07-27,90195.27784723844,88193.33586009742
2023-07-28,90788.03591238777,88848.54443357105
2023-07-31,90838.99683726273,88847.7740534094
2023-08-01,92178.66533481795,89737.46868266982
2023-08-02,91128.3280325971,88278.41375827555
2023-08-03,91476.41597240209,88783.26908449318
2023-08-04,92264.72881011383,90098.26945976264
2023-08-07,92381.05065935585,90244.17908849877
2023-08-08,91950.53691252867,89702.82464186211
2023-08-09,92107.29128425533,89891.72327651916
2023-08-10,92066.10984495682,89651.9743295398
2023-08-11,91618.95424974588,89178.91080227405
2023-08-14,91764.29744259591,89569.70544467223
2023-08-15,91640.94870389893,89973.67931133782
2023-08-16,91867.25859238842,90445.97881257035
2023-08-17,91321.90725893839,89156.86521950433
2023-08-18,91072.39114452992,88956.79772593114
2023-08-21,91195.89283063001,89274.13555446056
2023-08-22,91272.33356032899,89453.78404685337
2023-08-23,92207.19351529729,90762.46541069995
2023-08-24,91305.15455855704,89836.24315271157
2023-08-25,91324.07245629617,90174.91179320653
2023-08-28,91681.34166075062,90591.94132638809
2023-08-29,93205.81265179643,92125.29636480079
2023-08-30,92987.30610624744,92427.94120234383
2023-08-31,92051.04210947973,90542.13508829508
2023-09-01,93751.01815576381,92294.37282351857
2023-09-04,93685.11552537353,92343.59990137813
2023-09-05,93794.71302897813,92219.65443169996
2023-09-06,94014.15120295461,92121.46060187084
2023-09-07,94115.61152072108,91791.13075205825
2023-09-08,94305.0571874414,91832.45576111483
2023-09-11,94320.81703846852,91772.72999035176
2023-09-12,93267.05699375333,90966.24724239175
2023-09-13,93509.50619130235,90423.09986171719
2023-09-14,93594.95538568003,90911.78383385327
2023-09-15,92754.26889986405,89949.7512881575
2023-09-18,92612.510704047,90210.27458492528
2023-09-19,93009.61782821351,90755.09826257727
2023-09-20,92689.3742467718,90829.00450092612
2023-09-21,91606.28825788117,89993.9709638714
2023-09-22,91361.54658249114,89689.89887057971
2023-09-25,91276.46720290148,89660.79679504118
2023-09-26,90741.24501592046,89333.20167273753
2023-09-27,91437.3976324438,89696.41727313142
2023-09-28,91672.56105939612,89920.33757493043
2023-09-29,90928.3375263001,88066.6750603331
2023-10-02,93528.9118139731,90382.94261331671
2023-10-03,92486.89200872026,89425.64786403776
2023-10-04,93634.55170208072,90591.56075566223
2023-10-05,93209.44323219819,87496.75145874733
2023-10-06,93934.38548123415,88699.48481567959
2023-10-09,93164.75563496021,88417.60962597608
2023-10-10,94256.6608065984,90182.11663457665
2023-10-11,94038.7471815566,89794.66570991112
2023-10-12,93295.17840027952,88809.18772219023
2023-10-13,92896.34844108095,88297.85500697936
