date,nav,cash,equities,daily_ret
2023-08-24,274914.93350745004,206325.019373423,68589.91413402701,-0.0049855997337003854
2023-08-25,275279.96181078313,206362.44443943712,68917.51737134604,0.001327786376229101
2023-08-28,275626.0198420248,206399.8762939424,69226.14354808239,0.0012571130458072233
2023-08-29,276983.40783933306,206437.31493817017,70546.09290116289,0.004924745486969195
2023-08-30,276925.8961613319,206474.760373352,70451.13578797993,-0.0002076358235670872
2023-08-31,275230.3128533546,206512.21260071974,68718.10025263486,-0.006122877388792469
2023-09-01,277572.0117761574,208550.03439928315,69021.97737687425,0.008508143229305265
2023-09-04,277738.031341134,208587.86305830057,69150.1682828334,0.0005981134910333363
2023-09-05,277172.876027922,208625.69857901643,68547.17744890554,-0.0020348502885363384
2023-09-06,277052.44634175726,139149.16843355465,137903.2779082026,-0.0004344930423588744
2023-09-07,276591.7646718536,139174.40854660663,137417.356125247,-0.0016627958929312792
2023-09-08,278277.20925291174,139199.65323793466,139077.55601497705,0.006093618091115971
2023-09-11,276980.00576792855,139224.9025083692,137755.10325955937,-0.004661551294357746
2023-09-12,277682.2926252062,139250.15635874087,138432.1362664653,0.002535514631572422
2023-09-13,276886.93968797626,139275.4147898804,137611.52489809587,-0.0028642551518522907
2023-09-14,279346.10230050783,139300.67780261868,140045.42449788915,0.008881468426437111
2023-09-15,278742.6967479865,139325.94539778677,139416.75135019975,-0.002160064334358336
2023-09-18,278981.9449227493,139351.21757621586,139630.72734653341,0.000858311903967568
2023-09-19,279690.3406107418,139376.49433873734,140313.84627200448,0.0025392169668494446
2023-09-20,280351.83592673385,139401.77568618266,140950.0602405512,0.002365098896685458
2023-09-21,278543.07108785963,139427.06161938352,139116.0094684761,-0.006451767411813636
2023-09-22,277807.8474630287,139452.3521391717,138355.49532385697,-0.0026395329884154606
2023-09-25,277305.49764988,139477.64724637917,137827.85040350084,-0.0018082635812349812
2023-09-26,278411.65912912146,139502.94694183802,138908.71218728344,0.003988963394581102
2023-09-27,283003.6329356147,139528.25122638053,143475.38170923412,0.016493468056822946
2023-09-28,283292.15695971204,139553.5601008391,143738.59685887292,0.0010195064321418812
