Date,nav,benchmark,position,hurst_raw,hurst_smoothed,qqq_mxn,usd_mxn
2010-11-19,242512.3440195559,229478.01172800615,2,0.5065336742047936,0.4804443209369527,0.0004366316570643125,12.26200008392334
2010-11-22,249473.58002445247,231930.7211463588,2,0.5059949811505409,0.490825014809216,0.010688211039843631,12.289999961853027
2010-11-23,241229.33624742992,231647.29356434557,2,0.5070114119507586,0.500071660790506,-0.0012220355311807207,12.472999572753906
2010-11-24,253176.74740016912,234336.7040841973,2,0.5178218719503189,0.5082023073340818,0.011609937152599059,12.368399620056152
2010-11-26,253821.13944375585,234863.0845984002,2,0.5296698004833604,0.5134063479479545,0.002246257223169623,12.478400230407715
2010-11-29,250352.20433314212,234745.22309778826,2,0.5331724751103569,0.5187341081290672,-0.0005018306764278391,12.481599807739258
2010-11-30,240794.31285978915,231856.9250948239,2,0.5369599953984012,0.5249271109786392,-0.012303969234599421,12.479499816894531
2010-12-01,254338.71487814415,235119.78838064137,2,0.5404803262698025,0.531620893842448,0.014072744579369578,12.393400192260742
2010-12-02,260522.5711515629,236111.5533815873,2,0.5439745148487342,0.5368514224221311,0.004218126461309701,12.320599555969238
2010-12-03,262901.04863869527,236907.45873673187,2,0.5430702451579632,0.5395315113570516,0.0033708869546857922,12.329999923706055
2010-12-06,263169.3527624689,237478.26908498525,2,0.5482362913614088,0.542544274607262,0.002409423288304735,12.364299774169922
2010-12-07,265900.8544974258,239857.07757752237,2,0.5519001123131707,0.545532297990216,0.010016952295057502,12.481200218200684
2010-12-08,267819.31698786316,239171.3761677611,2,0.5544131577532421,0.5483188642869038,-0.0028587916466198404,12.399490356445312
2010-12-09,269689.076034614,240813.65465352783,2,0.5561191662842221,0.5507477945740014,0.006866534415952863,12.473099708557129
2010-12-10,274697.6716534074,241839.96789338824,2,0.5561056536288158,0.5533548762681719,0.004261856502020267,12.443499565124512
2010-12-13,270454.07102467987,240092.2829352916,2,0.5646864978941115,0.5566449175747124,-0.007226617557553938,12.39680004119873
2010-12-14,271128.67264606874,240128.9667171891,2,0.563273052847039,0.5589195056814861,0.0001527903414846321,12.375900268554688
2010-12-15,270231.19697912486,240730.74322070132,2,0.5597849343490737,0.5599938610006525,0.002506055440703925,12.461899757385254
2010-12-16,274580.46689767775,241464.05898395623,2,0.5550398300320347,0.559777993750215,0.003046207366138587,12.403670310974121
2010-12-17,275490.6240732505,241741.72532666082,2,0.5502393229038175,0.5586047276052153,0.0011499282496656438,12.406999588012695
2010-12-20,276122.3534277893,241821.5568695105,2,0.5428423249680447,0.554235893020002,0.00033023485185190715,12.402000427246094
2010-12-21,279542.5343421576,242303.33054138898,2,0.5384677661550773,0.5492748356816096,0.0019922693332854458,12.35200023651123
2010-12-22,278592.73550456954,241180.60134156732,2,0.5309288035002855,0.543503609511852,-0.004633568995164428,12.29699993133545
2010-12-23,277643.2099890053,241582.44292748443,2,0.5135437558013493,0.5352043946657148,0.0016661438925098526,12.348999977111816
2010-12-27,277844.7125640392,241793.11529827694,2,0.4953445528307966,0.5242254406511107,0.000872051661700235,12.352999687194824
2010-12-28,277185.5984371844,241826.2456100653,2,0.4709674610611581,0.5098504678697334,0.0001370192519645208,12.377289772033691
2010-12-29,278311.3515548859,241901.0395767667,2,0.4486235750184767,0.4918816296424132,0.00030928804486340944,12.354000091552734
2010-12-30,276617.63152997004,241674.61314465903,2,0.4316421548344967,0.47202429990925554,-0.0009360291816182809,12.371789932250977
2010-12-31,273187.90956663224,240008.1498837217,2,0.42929011532094563,0.4551735718131747,-0.00689548330812817,12.331600189208984
2011-01-03,283446.8390465913,241977.13964389893,2,0.43044362177267576,0.4421933856015506,0.008203845415795996,12.241700172424316
2011-01-04,282898.1336401933,241709.19201065623,2,0.42544774192706764,0.4330894417747325,-0.0011073262277462304,12.237000465393066
2011-01-05,288687.24180172366,242728.9081955103,2,0.42171208508856084,0.4277071437887493,0.004218772883114452,12.1850004196167
2011-01-06,292205.9665176051,244272.09748436353,2,0.42042595476708766,0.4254639037752675,0.0063576658434529865,12.222999572753906
2011-01-07,291695.09559679165,244193.38735793874,2,0.4210136536513988,0.4238086114413582,-0.0003222231570261247,12.229999542236328
2011-01-10,294661.5018962443,244850.74116283515,2,0.429157963024096,0.4235514796916422,0.0026919394173965383,12.217000007629395
2011-01-11,293810.9000951411,243373.64291980723,2,0.44607632422063037,0.4276771961503547,-0.006032647628563259,12.12600040435791
2011-01-12,298385.0403391843,243975.11501618737,2,0.45780884058007054,0.4348965472486567,0.0024713937350164805,12.069999694824219
2011-01-13,300813.1921665129,245274.66534926053,2,0.4772695744991132,0.44626527119506176,0.005326569199432196,12.130000114440918
2011-01-14,304904.4504475464,245139.70867117422,2,0.4822459242025435,0.4585117253052907,-0.0005502267341559453,12.034000396728516
2011-01-18,307312.2231146495,245807.44559078568,2,0.469134743620977,0.4665070814246669,0.002723903537419803,12.032999992370605
2011-01-19,298303.35262825724,244062.4061719511,2,0.45970376655488876,0.46923256989151857,-0.007099213022780715,12.085000038146973
2011-01-20,290976.95993743045,241813.54216651927,2,0.4376344018258188,0.46519768214066826,-0.009214299083191935,12.059000015258789
2011-01-21,284211.295859601,239860.83964817927,2,0.4132158057383824,0.45238692838852207,-0.00807524053799813,12.053999900817871
2011-01-24,295875.11070467107,243117.28011171852,2,0.3813704842629618,0.4322118404006058,0.013576373985497936,12.050999641418457
2011-01-25,297618.38379467506,244047.6592582466,2,0.3636098068659225,0.4111068530495949,0.0038268737874187497,12.079999923706055
2011-01-26,300106.69390159,243616.5642273913,2,0.34274413920672114,0.38771492757996134,-0.0017664378841639738,11.994999885559082
2011-01-27,306938.14575047634,245954.6904437832,2,0.32297837786133776,0.3647837227870651,0.009597566667139734,12.03600025177002
2011-01-28,306127.5610838218,243003.94760755173,0,0.3105217490992466,0.34424491145923797,-0.011997099266158995,12.201000213623047
