,strategy,benchmark
2023-08-08,58430.91168813543,59916.45893836635
2023-08-09,58691.06782247074,59997.70395097027
2023-08-10,58487.891274182526,59825.56349890479
2023-08-11,58256.10747549772,59483.628657080684
2023-08-14,58547.62665388156,59798.236725213384
2023-08-15,59086.587322632266,60056.26594722674
2023-08-16,59823.55048048251,60347.52271758001
2023-08-17,57979.18184115535,59473.371854780984
2023-08-18,58025.16451018785,59343.02773959158
2023-08-21,58019.65880015743,59614.68880376181
2023-08-22,58177.6710441495,59755.40387817271
2023-08-23,58802.82416564164,60645.994846030095
2023-08-24,58281.95479678528,60001.05926465678
2023-08-25,58804.82945914822,60232.41188345833
2023-08-28,58924.13729584809,60508.091754172056
2023-08-29,59793.50972551223,61552.41800145832
2023-08-30,59685.21123534092,61720.19128015997
2023-08-31,57717.93626385474,60513.14691639595
2023-09-01,60367.72916764536,62419.932612527584
2023-09-04,60351.000779906746,62444.4063850772
2023-09-05,59495.61220100413,62352.766208718094
2023-09-06,59536.80981990782,62266.96673654781
2023-09-07,59682.6894125024,62056.77735201084
2023-09-08,59623.71853057613,62057.924046074826
2023-09-11,59739.01851045682,61982.3637203098
2023-09-12,59329.29286950734,61350.99026409799
2023-09-13,59055.84380100615,61007.44673020258
2023-09-14,59904.80541973906,61313.185542724175
2023-09-15,59499.77252805546,60656.69407265796
2023-09-18,59888.80704807473,60845.4843123308
2023-09-19,60415.71162267378,61202.45867281631
2023-09-20,61008.32111453691,61190.55886254916
2023-09-21,60901.65913728566,60572.757950662424
2023-09-22,60672.07247488257,60372.78800590144
2023-09-25,60642.37116993561,60365.967073334556
2023-09-26,60837.7056564517,60106.27917406716
2023-09-27,60973.80633619241,60371.68938738979
2023-09-28,60901.56422706096,60529.00268120917
2023-09-29,60315.88626123468,59348.78338627153
2023-10-02,62712.274302245685,61587.26360645913
2023-10-03,61919.292229531944,60914.68070538912
2023-10-04,61725.02076149828,61744.32630114143
2023-10-05,61112.84970318999,59788.691070652785
2023-10-06,61671.46495390665,60619.03353473039
2023-10-09,62616.2266929884,60394.87274458894
2023-10-10,63830.082842451506,61542.61581303203
2023-10-11,63462.90399898811,61359.045328607004
2023-10-12,63638.204546117864,60698.46372505859
2023-10-13,63740.8088313154,60344.10327724303
2023-10-16,63829.70511348027,61079.98821743277
2023-10-17,63764.33344599139,60871.57772784526
2023-10-18,63017.47983810807,60341.486597089
2023-10-19,61341.86242115599,59754.71761519205
2023-10-20,60396.98270036376,59163.104168236736
2023-10-23,60456.101857293965,59059.95059953206
2023-10-24,61638.91051808651,59315.22825818661
2023-10-25,62483.537292350644,59359.04696745502
2023-10-26,63279.55702139374,58911.225172509614
2023-10-27,63373.57078037117,58375.248927564244
2023-10-30,63708.10680277693,58705.90972686078
2023-10-31,63277.318159095375,58641.25418819648
2023-11-01,66611.85609888495,61969.73866690523
2023-11-02,66612.80652129471,61967.81782502466
2023-11-03,68278.99494185596,63556.168779138185
2023-11-06,67871.22492901633,64227.29909513106
2023-11-07,67383.89151685526,63971.15756389821
2023-11-08,67088.82952146423,63875.24958777329
2023-11-09,67339.67281523478,63626.682886633746
2023-11-10,67504.7373983671,64272.789895351285
2023-11-13,66634.72851969351,63858.55131696585
2023-11-14,68131.6877637784,65199.08439815748
2023-11-15,68047.67527278843,65288.935312125046
2023-11-16,68033.06570856381,65106.654720420585
2023-11-17,68620.52748238762,65486.72617903171
2023-11-20,68623.39271953216,65697.13062108814
2023-11-21,68184.04039109395,65192.616544355194
2023-11-22,68088.16416625872,65338.448602811404
2023-11-23,67947.33829587576,65678.2235262764
2023-11-24,68071.82281065335,65597.31338027096
2023-11-27,67026.31003331408,65313.00156539799
