Datetime,nav,benchmark,position
2026-05-27 09:30:00-04:00,201404.17810780037,225645.70462187193,0
2026-05-27 10:00:00-04:00,201408.19266605141,224773.13407434613,0
2026-05-27 10:30:00-04:00,201412.20730432402,225367.07559514482,0
2026-05-27 11:00:00-04:00,201416.2220226198,225069.92680662585,0
2026-05-27 11:30:00-04:00,201420.23682094034,225109.7318296556,0
2026-05-27 12:00:00-04:00,201424.2516992872,225583.09210607,0
2026-05-27 12:30:00-04:00,201428.26665766205,225378.57222202222,0
2026-05-27 13:00:00-04:00,201432.28169606643,225133.6511107479,0
2026-05-27 13:30:00-04:00,201436.29681450195,225355.46951463405,0
2026-05-27 14:00:00-04:00,201440.31201297021,225946.62001722306,0
2026-05-27 14:30:00-04:00,201444.3272914728,225653.66101135552,0
2026-05-27 15:00:00-04:00,201448.3426500113,225568.667834801,0
2026-05-27 15:30:00-04:00,201452.35808858732,225670.32464381467,0
2026-05-28 09:30:00-04:00,201456.37360720246,225572.44674375636,0
2026-05-28 10:00:00-04:00,201460.38920585832,226113.39773431956,0
2026-05-28 10:30:00-04:00,201464.40488455645,226616.03206045716,0
2026-05-28 11:00:00-04:00,201468.4206432985,226959.49458842506,0
2026-05-28 11:30:00-04:00,201472.43648208605,227081.81923270787,0
2026-05-28 12:00:00-04:00,201476.45240092068,227173.66796476344,0
2026-05-28 12:30:00-04:00,201480.468399804,227199.55457991295,0
2026-05-28 13:00:00-04:00,201484.4844787376,227052.62438672653,0
2026-05-28 13:30:00-04:00,201488.5006377231,227049.58884275623,0
2026-05-28 14:00:00-04:00,201492.51687676206,227043.33366512568,0
2026-05-28 14:30:00-04:00,201496.5331958561,226894.76301297903,0
2026-05-28 15:00:00-04:00,201500.54959500677,226983.9783047431,0
2026-05-28 15:30:00-04:00,201504.56607421572,227009.51122085683,0
2026-05-29 09:30:00-04:00,201508.58263348453,229380.41700299946,0
2026-05-29 10:00:00-04:00,201512.5992728148,228745.64728184653,0
2026-05-29 10:30:00-04:00,201516.61599220813,228018.54439151165,0
2026-05-29 11:00:00-04:00,201520.63279166608,228292.54150045675,0
2026-05-29 11:30:00-04:00,201524.64967119027,228097.68555078958,0
2026-05-29 12:00:00-04:00,201528.6666307823,228457.01770279705,0
2026-05-29 12:30:00-04:00,201532.68367044377,228159.25864907829,0
2026-05-29 13:00:00-04:00,201536.70079017628,228081.42122520524,0
2026-05-29 13:30:00-04:00,201540.7179899814,227692.40918023352,0
2026-05-29 14:00:00-04:00,201544.73526986074,228372.95096527788,0
2026-05-29 14:30:00-04:00,201548.75262981592,227885.95358109995,0
2026-05-29 15:00:00-04:00,201552.7700698485,228177.54672936097,0
2026-05-29 15:30:00-04:00,201556.7875899601,228173.94722414538,0
2026-06-01 09:30:00-04:00,201560.80519015228,228345.03469950033,0
2026-06-01 10:00:00-04:00,201564.82287042667,228621.58169783634,0
2026-06-01 10:30:00-04:00,201568.84063078486,229054.41203331223,0
2026-06-01 11:00:00-04:00,201572.85847122845,229260.1938972616,0
2026-06-01 11:30:00-04:00,201576.87639175903,229545.3404714461,0
2026-06-01 12:00:00-04:00,201580.8943923782,229707.53384894488,0
2026-06-01 12:30:00-04:00,201584.91247308755,230099.00075283452,0
2026-06-01 13:00:00-04:00,201588.93063388867,229994.54381198363,0
2026-06-01 13:30:00-04:00,201592.94887478318,230446.03810235686,0
2026-06-01 14:00:00-04:00,201596.96719577265,230267.1562715751,0
2026-06-01 14:30:00-04:00,201600.9855968587,230122.71604496505,0
2026-06-01 15:00:00-04:00,201605.0040780429,230198.30974676105,0
2026-06-01 15:30:00-04:00,201609.02263932687,229804.25109232843,0
2026-06-02 09:30:00-04:00,201613.0412807122,229018.04467661792,0
2026-06-02 10:00:00-04:00,201617.06000220048,228745.33078433847,0
2026-06-02 10:30:00-04:00,201621.07880379332,229222.5926353001,0
2026-06-02 11:00:00-04:00,201625.0976854923,229501.25506704336,0
2026-06-02 11:30:00-04:00,201629.11664729903,229772.4861374194,0
2026-06-02 12:00:00-04:00,201633.1356892151,229759.4542010844,0
2026-06-02 12:30:00-04:00,201637.1548112421,230019.8172330449,0
2026-06-02 13:00:00-04:00,201641.17401338165,229598.86164830602,0
2026-06-02 13:30:00-04:00,201645.19329563534,229571.63555602802,0
2026-06-02 14:00:00-04:00,201649.21265800475,229561.12393270744,0
2026-06-02 14:30:00-04:00,201653.2321004915,229484.81364981132,0
2026-06-02 15:00:00-04:00,201657.25162309717,229506.28459521523,0
