Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ
2004-11-10,217309.43915196473,211297.82708050535,212721.032278872,0.3947460693511088
2004-11-11,220698.65059063613,214055.67590160226,212776.15403842682,0.403886366508264
2004-11-12,222629.82030918082,214587.64512284292,212831.29008151693,0.4089041375694018
2004-11-15,224146.75338385403,216274.3179190715,212886.44041184362,0.4127522990482252
2004-11-16,222340.85053444916,214729.2553502052,212941.60503310908,0.40782913224332734
2004-11-17,225588.88520611933,216663.12633083007,212996.78394901648,0.4162039857806447
2004-11-18,227109.9643690251,218180.91407282196,213051.9771632699,0.41996372163111595
2004-11-19,223001.34287039516,215590.63904220314,213107.18467957454,0.40912394455691764
2004-11-22,225518.6598279074,217423.074499382,213162.40650163635,0.4155681037640132
2004-11-23,224788.02215815135,216400.29704288743,213217.64263316235,0.4135165666398499
2004-11-24,226761.81516200872,217245.0814229853,213272.8930778606,0.41847081801213976
2004-11-26,225656.1325907707,216043.5161911138,213328.15783943987,0.41546998045735367
2004-11-29,225615.10616156948,216065.49520493127,213383.4369216102,0.4152121929759978
2004-11-30,224781.8681787634,215029.4344920749,213438.73032808234,0.4128923624475005
2004-12-01,229585.3433795953,217448.22629224366,213494.03806256814,0.42502710785279646
2004-12-02,231072.08730492726,219130.50313310913,213549.3601287804,0.4285785160573028
2004-12-03,230976.80759666505,218277.20039240422,213604.69653043285,0.4281946684975128
2004-12-06,232448.7584339609,220006.97851737172,213660.04727124012,0.4316683177619924
2004-12-07,227618.65233916306,216994.62044331056,213715.41235491796,0.41945782868421067
2004-12-08,229670.8313484534,219134.69586578044,213770.79178518296,0.42449606028949455
2004-12-09,231668.60338029353,220986.3282896267,213826.18556575265,0.4293110208369928
2004-12-10,231339.0450224871,221597.71676341764,213881.59370034572,0.42834994361117046
2004-12-13,233292.8746685809,222117.0861822127,213937.01619268156,0.4329906279293367
2004-12-14,234618.69210110302,222842.56369016098,213992.4530464807,0.4360486698154877
2004-12-15,232862.2390583697,220671.05856640538,214047.90426546457,0.4316476126140147
2004-12-16,230882.51870730356,220532.58908549062,214103.36985335557,0.42662569201513756
2004-12-17,229533.13412305588,218640.12952964776,214158.8498138771,0.4231054759437266
2004-12-20,227076.9460509027,216095.89939225712,214214.3441507535,0.41671436430243786
2004-12-21,230699.67298961384,219076.05825734982,214269.85286771,0.4257250534058609
2004-12-22,230845.3469054852,218859.99166693827,214325.37596847294,0.42593873079396144
2004-12-23,231090.150962221,219084.3262295808,214380.91345676951,0.42639826220044175
2004-12-27,229847.86560215696,218206.4161083503,214436.465336328,0.4231486114669403
2004-12-28,233390.8259046077,221944.45198125087,214492.03161087746,0.4317582233399391
2004-12-29,233862.63636579635,222440.064094897,214547.61228414805,0.4327576834129667
2004-12-30,232873.71933515358,220609.1986853637,214603.2073598709,0.4302012311806751
2004-12-31,232074.18260253748,219629.8324454097,214658.81684177805,0.428090014413192
2005-01-03,229652.36766871385,218943.2393714004,214714.44073360253,0.42190913795268703
2005-01-04,225642.88558558453,217987.67127680843,214770.07903907835,0.4114844944753826
2005-01-05,223780.27274141237,216313.99491818226,214825.7317619404,0.4064322746270517
2005-01-06,222655.00927526676,215779.5453803166,214881.39890592478,0.40327788977368667
2005-01-07,223160.10552698426,214766.1739576795,214937.0804747683,0.40447422219519574
2005-01-10,222745.77016630667,214005.55242944867,214992.7764722088,0.4032118649310006
2005-01-11,220582.47912166195,211842.6966783374,215048.48690198507,0.3972028985336285
2005-01-12,223030.2614041183,213060.22823878666,215104.21176783709,0.5054102493405715
2005-01-13,218961.49937941742,211054.73475540683,215159.9510735055,0.4960891956157077
2005-01-14,221988.6808794129,212974.2781725725,215215.70482273208,0.5028320536199374
2005-01-18,224908.05194746505,215348.58916599306,215271.47301925957,0.509158278877596
2005-01-19,219135.7649755555,211638.3224465011,215327.25566683162,0.496098405228638
2005-01-20,213371.18584300083,208598.6819898345,215383.0527691929,0.4823505594285837
2005-01-21,210532.07800930057,206207.51975040848,215438.86433008907,0.4752339074028715
2005-01-24,206317.00513469914,203331.47468399367,215494.69035326666,0.4643741351072152
2005-01-25,208035.52496534298,204988.10492830892,215550.53084247332,0.4686611331010459
2005-01-26,211191.04849905416,206745.6928908283,215606.38580145745,0.47646453716494425
2005-01-27,210987.59591865243,206908.4598669916,215662.25523396872,0.4758239057797434
2005-01-28,209331.01244832008,205520.58595460095,215718.13914375752,0.471538828753277
2005-01-31,212413.41038796213,206654.81238850512,215774.03753457536,0.47907254396123816
2005-02-01,213372.18314291106,207299.26052160808,215829.95041017456,0.48127891468868084
