,strategy,benchmark
2023-03-23,42819.83638461385,46138.35804106213
2023-03-24,42820.49922402185,46124.99413759448
2023-03-27,42904.88135578073,46095.92077847179
2023-03-28,42892.76961133491,46396.240500889515
2023-03-29,43129.85982009339,46896.457210934255
2023-03-30,43167.22527086445,47158.09412948342
2023-03-31,43033.699679549834,47173.76676657064
2023-04-03,44840.29504399606,49100.61638263166
2023-04-04,44980.87825749949,49452.71831998098
2023-04-05,44299.19780858764,48645.51195100354
2023-04-06,44299.40367591742,48872.638133437315
2023-04-10,44699.882525331144,49010.44881391994
2023-04-11,44969.02659635646,49341.16892003649
2023-04-12,44790.67317941745,49163.11288382744
2023-04-13,45257.87289556608,49649.821153473575
2023-04-14,45119.67818927961,49448.69091578519
2023-04-17,45257.896990153924,49689.26524315116
2023-04-18,44711.76521544724,49253.85473163026
2023-04-19,44853.81207366914,49285.173694447876
2023-04-20,44622.52875288825,49254.0182104764
2023-04-21,44260.497547587955,48860.38906789632
2023-04-24,44678.28655229569,49296.10344253834
2023-04-25,44415.92941650536,48981.577794020624
2023-04-26,44155.55025307319,49020.19838534886
2023-04-27,44670.85536084665,49635.080553082706
2023-04-28,45063.991933753765,49950.17208343105
2023-05-01,47059.53080778957,51974.771159787015
2023-05-02,47384.60868745847,51842.19774623591
2023-05-03,47304.84638023568,51764.275759929784
2023-05-04,47114.446992073965,51509.55613489332
2023-05-05,47493.6627889298,52159.737358926264
2023-05-08,47778.276914209564,52167.6195066607
2023-05-09,48066.84833352187,52356.80173691019
2023-05-10,47771.54680741382,52508.58349535799
2023-05-11,47286.83014154528,52017.52208998358
2023-05-12,47113.44459181724,51846.52917274194
2023-05-15,47503.209580547154,52266.545176501044
2023-05-16,47327.74220741864,52179.95979108329
2023-05-17,47425.178109375935,52359.73234609009
2023-05-18,47666.28437438182,52868.02014420263
2023-05-19,46806.13439533076,52172.47054020109
2023-05-22,46111.04125632883,51420.985499628405
2023-05-23,45505.65856045112,51000.385166885004
2023-05-24,45896.22018557338,51197.73700080592
2023-05-25,46092.331334995775,52002.15371892321
2023-05-26,46605.18369318814,52644.94852752376
2023-05-29,46833.00013651952,52841.1048448651
2023-05-30,46125.37165051508,52292.4291939752
2023-05-31,45764.48857036018,51804.352825477115
2023-06-01,47949.800027946265,53860.658451725256
2023-06-02,48017.69196951314,54073.385501822864
2023-06-05,48207.223518705636,54221.46207404011
2023-06-06,48888.41963068331,54875.45241472304
2023-06-07,48843.97278088027,54568.58492031841
2023-06-08,49170.07448624899,54949.720051719916
2023-06-09,49541.4324037261,55305.18831389968
2023-06-12,49430.741932909325,55330.81065630897
2023-06-13,49781.89436030396,55627.93397683896
2023-06-14,50297.29507706249,56040.939604053674
2023-06-15,50427.60824112875,56109.57838824348
2023-06-16,50364.997239877775,55868.20699939631
2023-06-19,50126.914708694836,55795.17242811509
2023-06-20,49611.88036595471,55310.45167045523
2023-06-21,49165.860128848726,55013.879992092385
2023-06-22,48786.86487315538,54607.70554249939
2023-06-23,48181.847781171724,54291.542676890036
2023-06-26,48351.056455106416,54048.679611177504
2023-06-27,48749.76645254962,54617.263657817886
2023-06-28,48650.327744884205,54268.63451091329
2023-06-29,48554.024900973556,54264.65402050128
