Date,nav,benchmark,position,entropy_raw,entropy_smoothed,qqq_mxn,usd_mxn
2023-05-04,1683182.3511016923,2275675.0008092267,0,0.9464963113673721,0.9408281769482494,-0.00453708991735402,17.956100463867188
2023-05-05,1683618.509068069,2316701.618465713,0,0.9385222557742453,0.9424636995965592,0.01802832901969631,17.89937973022461
2023-05-08,1684054.7800547443,2305170.2524001333,0,0.9403511533611684,0.9452575348770015,-0.00497749298988992,17.76626968383789
2023-05-09,1684491.1640910045,2293318.702519401,0,0.9376816746706734,0.942702074422914,-0.005141290483161698,17.787580490112305
2023-05-10,1684927.661206144,2312528.797678383,0,0.9376816746706734,0.9401466139688266,0.008376548422108998,17.743499755859375
2023-05-11,1685364.2714294645,2293093.1020548143,0,0.9279731139670894,0.93644197448877,-0.008404520472601651,17.537200927734375
2023-05-12,1685800.9947902753,2289753.899375769,0,0.9296861772872616,0.9346747587913733,-0.001456200219717707,17.57469940185547
2023-05-15,1686237.8313178937,2304975.6169538535,0,0.9274962985070506,0.9321037878205496,0.006647752661207207,17.596250534057617
2023-05-16,1686674.781041644,2286190.1378468224,0,0.9185936499039282,0.9282861828672007,-0.008149968688977771,17.4330997467041
2023-05-17,1687111.8439908584,2320127.108865829,0,0.9179897630441554,0.924347800541897,0.014844334448476548,17.480300903320312
2023-05-18,1687549.0201948767,2380316.969023769,0,0.9326010914290455,0.9252733960342882,0.025942483895790902,17.606769561767578
2023-05-19,1687986.3096830463,2389646.862123862,0,0.938021214073676,0.9269404033915711,0.003919601137792883,17.715700149536133
2023-05-22,1688423.712484722,2401786.3488870813,0,0.936637247393927,0.9287685931689463,0.005080033772199233,17.7460994720459
2023-05-23,1688861.2286292666,2389219.21088755,0,0.9269286866903428,0.9304356005262292,-0.005232412951865939,17.879899978637695
2023-05-24,1689298.8581460502,2387372.858660752,0,0.9315428972345117,0.9331462273643005,-0.000772784773529378,17.958200454711914
2023-05-25,1689736.6010644508,2423911.907853673,0,0.9329268639142608,0.9332113818613437,0.015305128840837456,17.799930572509766
2023-05-26,1690174.4574138536,2492320.080226511,0,0.9401758841458142,0.9336423158757713,0.028222218864963677,17.84630012512207
2023-05-30,1690612.4272236517,2468904.4157014806,0,0.9438829434702727,0.9350914550910405,-0.00939512733970449,17.598819732666016
2023-05-31,1691050.5105232457,2462799.9214873007,0,0.9401758841458142,0.9377408945821347,-0.002472551863635153,17.65570068359375
2023-06-01,1691488.707342044,2494185.5397663917,0,0.9401758841458142,0.9394674919643953,0.012743876595601389,17.67650032043457
2023-06-02,1691927.0177094624,2493315.494145806,0,0.9401758841458142,0.9409172960107058,-0.0003488295504541217,17.538799285888672
