Date,NAV,Capital
2023-06-28,266941.582785381,131000.0
2023-06-29,266427.48212792893,131000.0
2023-06-30,272456.0156434641,131000.0
2023-07-03,274243.93717744306,132000.0
2023-07-05,275506.1671016322,132000.0
2023-07-06,272508.78071913874,132000.0
2023-07-07,272694.59415718756,132000.0
2023-07-10,275720.26119530277,132000.0
2023-07-11,277112.29005062213,132000.0
2023-07-12,283329.1432857286,132000.0
2023-07-13,288890.8531670693,132000.0
2023-07-14,285570.9336101209,132000.0
2023-07-17,290554.0017716594,132000.0
2023-07-18,296001.6121259033,132000.0
2023-07-19,296401.8291703703,132000.0
2023-07-20,283574.0742946233,132000.0
2023-07-21,278724.7583583775,132000.0
2023-07-24,279174.4395541527,132000.0
2023-07-25,282780.19089200156,132000.0
2023-07-26,280670.6989018959,132000.0
2023-07-27,282881.93824185577,132000.0
2023-07-28,289775.39654854767,132000.0
2023-07-31,290195.55093892186,132000.0
2023-08-01,293199.2740766171,133000.0
2023-08-02,283985.97115281376,133000.0
2023-08-03,283837.6435137153,133000.0
2023-08-04,283439.3186894833,133000.0
2023-08-07,288565.3361759594,133000.0
2023-08-08,284972.33421766484,133000.0
2023-08-09,275774.9233452505,133000.0
2023-08-10,275186.27214188967,133000.0
2023-08-11,269325.9221767794,133000.0
