Date,nav,benchmark,position,qqq_mxn,usd_mxn,rsi,srp,support,resistance,smooth
2022-11-09,3303632.5516615766,2054103.101214244,1,-0.018327423297829104,19.537620544433594,42.00740086745723,0.5,263.3259582519531,254.6641082763672,257.5001673158281
2022-11-10,4031348.1838831767,2208436.232519207,1,0.07513407248824655,19.56209945678711,56.11382147467694,0.5,263.3259582519531,254.6641082763672,262.8882352142088
2022-11-11,4206928.797193498,2220777.8872442,1,0.005588413440814843,19.315509796142578,58.99412886881273,0.5,281.51971435546875,254.6641082763672,268.9286856149329
2022-11-14,4137762.765924027,2224013.6367664123,1,0.0014570342855078078,19.514429092407227,57.043965929382196,0.5,281.51971435546875,254.6641082763672,272.7459793724618
2022-11-15,4265970.518768133,2234543.551199861,1,0.00473464472491214,19.33919906616211,59.314285506835844,0.5,281.51971435546875,254.6641082763672,277.12621410744515
2022-11-16,4093600.0787832458,2204271.1098266193,1,-0.013547483268780525,19.34119987487793,56.12005963306322,0.5,281.51971435546875,254.6641082763672,279.632082133334
2022-11-17,4060359.3025443577,2198512.224601674,1,-0.0026126029594419897,19.33333969116211,55.60572369308871,0.5,281.51971435546875,254.6641082763672,280.66090486423013
2022-11-18,4070611.4639698593,2206159.3521880955,1,0.003478319338345859,19.399900436401367,55.612735180145,0.5,281.51971435546875,254.6641082763672,280.657610725158
2022-11-21,3956408.8391995234,2188337.4290053593,1,-0.00807825743188506,19.443199157714844,52.993454850208394,0.5,281.51971435546875,254.6641082763672,279.63961722269875
2022-11-22,4141403.81950148,2229948.3556087455,1,0.01901485851855078,19.531600952148438,56.08025303439152,0.5,281.51971435546875,254.6641082763672,280.9622265908131
2022-11-23,4245666.096479703,2241986.337205287,1,0.005398323044685682,19.441909790039062,58.171274844762976,0.5,281.51971435546875,254.6641082763672,283.3724454505338
2022-11-25,4144914.451098425,2220294.257490577,1,-0.009675384436887313,19.38129997253418,56.26155298835527,0.5,281.51971435546875,254.6641082763672,284.840098961582
