Date,strategy
2021-03-23,179217.6040196816
2021-03-24,179264.0441369137
2021-03-25,179310.49628803332
2021-03-26,179356.96047615874
2021-03-29,179403.4367044091
2021-03-30,179449.92497590435
2021-03-31,179496.42529376518
2021-04-01,179542.93766111313
2021-04-05,179589.46208107055
2021-04-06,179635.9985567606
2021-04-07,179682.54709130726
2021-04-08,179729.1076878353
2021-04-09,179775.68034947026
2021-04-12,179822.2650793386
2021-04-13,179868.8618805675
2021-04-14,179915.47075628498
2021-04-15,179962.09170961985
2021-04-16,180008.72474370175
2021-04-19,180055.36986166114
2021-04-20,180102.02706662926
2021-04-21,180148.6963617382
2021-04-22,180195.37775012082
2021-04-23,179719.50463943547
2021-04-26,182539.14047503975
2021-04-27,180197.93390857935
2021-04-28,179905.39638421338
2021-04-29,180432.20534352478
2021-04-30,177701.8163393088
2021-05-03,177747.8636750507
2021-05-04,177793.92294289984
2021-05-05,177839.99414594815
2021-05-06,177886.07728728835
2021-05-07,177932.17237001398
2021-05-10,177978.2793972194
2021-05-11,178024.3983719997
2021-05-12,178070.52929745088
2021-05-13,178116.6721766696
2021-05-14,178162.8270127535
2021-05-17,178208.99380880085
2021-05-18,178255.17256791083
2021-05-19,178301.36329318339
2021-05-20,178347.56598771928
2021-05-21,178393.78065462006
2021-05-24,178440.0072969881
2021-05-25,177968.7698967653
2021-05-26,180057.61865175166
2021-05-27,177642.89388388113
2021-05-28,180105.48064938324
2021-06-01,178272.90573147373
2021-06-02,179596.16026895805
2021-06-03,173372.14582725504
2021-06-04,184508.9872606198
2021-06-07,184325.39977916505
2021-06-08,183412.02764585655
2021-06-09,182507.02335993017
2021-06-10,188365.70999858895
2021-06-11,189600.08992345654
2021-06-14,196571.03497404727
2021-06-15,193060.47787664732
2021-06-16,193110.5050560336
2021-06-17,193160.54519881203
2021-06-18,193210.59830834172
2021-06-21,193260.66438798275
2021-06-22,193310.74344109598
2021-06-23,193360.83547104322
2021-06-24,192850.19405832107
2021-06-25,188923.02960989188
2021-06-28,195229.7264187715
2021-06-29,197517.37796936717
2021-06-30,196510.89997160883
2021-07-01,197911.01689622414
2021-07-02,205405.36054070608
2021-07-06,208442.62192409683
2021-07-07,211749.78943641082
2021-07-08,207442.75470747132
2021-07-09,211279.1998933491
2021-07-12,212640.27232146118
2021-07-13,211553.50318420964
2021-07-14,211608.32240547126
2021-07-15,211663.15583187237
2021-07-16,211718.0034670939
2021-07-19,211772.8653148177
2021-07-20,211827.74137872667
2021-07-21,211882.63166250457
2021-07-22,211937.53616983618
2021-07-23,211992.45490440718
2021-07-26,212047.38786990423
2021-07-27,212102.33507001496
2021-07-28,212157.29650842794
2021-07-29,212212.27218883272
2021-07-30,212267.26211491975
2021-08-02,212322.26629038047
2021-08-03,212377.28471890732
2021-08-04,212432.3174041936
2021-08-05,212487.36434993366
2021-08-06,212542.42555982276
2021-08-09,212597.50103755711
2021-08-10,212652.59078683393
2021-08-11,212707.6948113513
2021-08-12,212762.81311480838
2021-08-13,212817.9457009052
2021-08-16,212873.0925733428
2021-08-17,212928.2537358231
2021-08-18,212983.42919204908
2021-08-19,213038.61894572465
2021-08-20,213093.82300055464
2021-08-23,213149.04136024485
2021-08-24,213204.27402850208
2021-08-25,213259.52100903407
2021-08-26,213314.7823055495
2021-08-27,213370.05792175807
2021-08-30,213425.34786137033
2021-08-31,213480.6521280979
2021-09-01,213535.97072565331
2021-09-02,213591.30365775008
2021-09-03,213646.65092810267
2021-09-07,213702.0125404265
2021-09-08,213757.388498438
2021-09-09,213812.77880585447
2021-09-10,213868.18346639426
2021-09-13,213923.60248377663
2021-09-14,213979.03586172184
2021-09-15,214034.48360395108
2021-09-16,214089.94571418656
2021-09-17,214145.4221961514
2021-09-20,214200.9130535697
2021-09-21,214256.41829016653
2021-09-22,214311.9379096679
2021-09-23,214367.47191580085
2021-09-24,214423.02031229332
2021-09-27,214478.58310287425
2021-09-28,214534.16029127353
2021-09-29,214589.751881222
2021-09-30,214645.35787645154
2021-10-01,214700.97828069492
2021-10-04,214756.6130976859
2021-10-05,214812.26233115923
2021-10-06,214867.9259848506
2021-10-07,214923.60406249666
2021-10-08,214979.2965678351
2021-10-11,215035.00350460445
2021-10-12,215090.72487654435
2021-10-13,215146.4606873953
2021-10-14,215202.21094089883
2021-10-15,215257.9756407974
2021-10-18,215313.7547908345
2021-10-19,215369.5483947545
2021-10-20,215425.35645630283
2021-10-21,215481.17897922584
2021-10-22,215537.01596727085
2021-10-25,215592.86742418617
2021-10-26,215648.7333537211
2021-10-27,215704.61375962585
2021-10-28,215760.50864565166
