Date,NAV,QQQ_BH_MXN,BONDIA,W_TQQQ,HEDGE_USD,SCORE
2008-05-13,220860.74373150323,212364.45018191214,214770.07903907835,0.329207314166281,0.0,3
2008-05-14,220453.18723357926,212096.16104395234,214825.7317619404,0.32779306362392663,0.0,3
2008-05-15,223996.94104937545,215065.15536565182,214881.39890592478,0.33825631287703517,0.0,3
2008-05-16,223595.0271519483,213558.04982129807,214937.0804747683,0.33689503929052245,0.0,3
2008-05-19,222041.0095342235,212204.92684864314,214992.7764722088,0.3320810782713113,0.0,3
2008-05-20,220431.47697096792,210797.90413278167,215048.48690198507,0.3270297707252654,0.0,3
2008-05-21,215567.01262562588,205858.50484911728,215104.21176783709,0.31166526976314535,0.0,3
2008-05-22,216217.52189776962,206363.8135798947,215159.9510735055,0.3135583553597649,0.0,3
2008-05-23,215794.55216809892,206325.26122322262,215215.70482273208,0.3120346660688443,0.0,3
2008-05-27,219323.78207810226,209830.41522031027,215271.47301925957,0.3229295997309865,0.0,3
2008-05-28,219775.42818872584,209436.00310356758,215327.25566683162,0.32414591617391797,0.0,3
2008-05-29,221717.1555929837,211370.60808868048,215383.0527691929,0.3298912301774993,0.0,3
2008-05-30,222960.16308618672,212218.81355189258,215438.86433008907,0.33345442514671414,0.0,3
2008-06-02,220494.14506110927,210348.71538435906,215494.69035326666,0.325825092999719,0.0,3
2008-06-03,219159.57486006353,208705.16239347888,215550.53084247332,0.32154395042274764,0.0,3
2008-06-04,221890.3735834697,211408.01955762462,215606.38580145745,0.32972004773325875,0.0,3
2008-06-05,225198.203560748,214241.71305260799,215662.25523396872,0.3393943367523275,0.0,3
2008-06-06,218649.0263056252,208807.5730006149,215718.13914375752,0.3194309586563567,0.0,3
2008-06-09,217603.4250281888,207865.0755025381,215774.03753457536,0.3159835706096631,0.0,3
2008-06-10,217129.99400455013,208374.63741929136,215829.95041017456,0.3143145051302844,0.0,3
2008-06-11,212288.59165300743,203615.50248771216,215885.87777430864,0.2984951956010769,0.0,3
2008-06-12,212058.83049803306,202406.20560791757,215941.81963073194,0.2975531545447546,0.0,3
2008-06-13,215720.84487775588,206016.70255286008,215997.77598319974,0.30929875511607985,0.0,3
2008-06-16,217335.71076286398,207311.35123085926,216053.7468354684,0.31425321152358804,0.0,3
2008-06-17,216255.08252141296,206204.84843183865,216109.73219129522,0.31064794632381104,0.0,3
2008-06-18,214024.9313251423,203734.65025637136,216165.73205443844,0.3032843701182178,0.0,3
2008-06-19,217138.73961544933,207097.5382265984,216221.74642865732,0.31309744775496895,0.0,3
2008-06-20,211430.99021120378,200820.98094002972,216277.77531771205,0.29437116152570086,0.0,3
2008-06-23,210278.05236091913,200204.57615889623,216333.8187253638,0.2903184046697257,0.0,2
2008-06-24,209674.21306558972,198025.42712505456,216389.8766553748,0.13834949201023036,0.0,2
2008-06-25,211164.00617870098,201515.14514616743,216445.9491115081,0.1442068613948819,0.0,2
2008-06-26,207557.17378059388,193711.00832350133,216502.03609752786,0.12910967202658277,0.0,1
2008-06-27,207597.5586257528,193795.70834283694,216558.1376171992,0.0,0.0,1
2008-06-30,207651.35275503164,191795.2233248815,216614.2536742881,0.0,0.0,0
2008-07-01,207684.77061459902,194512.715033889,216670.38427256164,0.0,0.35,1
2008-07-02,208363.82589572086,191489.97925603855,216726.5294157878,0.0,0.35,0
